Unnamed: 0,A,CH,CR,J,LAW,LTD,PINC,TER,USE,document,document_ID,label,text,TER_targets,LTD_targets,A_targets,CH_targets,CR_targets
464,0,0,1,0,0,0,0,0,0,Instagram,2,1,"if we terminate your access to the service or you use the form detailed above to deactivate your account , your photos , comments , likes , friendships , and all other data will no longer be accessible through your account -lrb- e.g. , users will not be able to navigate to your username and view your photos -rrb- , but those materials and data may persist and appear within the service -lrb- e.g. , if your content has been reshared by others -rrb- .",,,,,"[15, 1]"
465,0,0,0,0,0,0,0,0,0,Instagram,2,0,"upon termination , all licenses and other rights granted to you in these terms of use will immediately cease .",,,,,
466,0,1,0,0,0,0,0,0,0,Instagram,2,1,"we reserve the right , in our sole discretion , to change these terms of use -lrb- `` updated terms '' -rrb- from time to time .",,,,[0],
467,0,0,0,0,0,0,0,0,0,Instagram,2,0,"unless we make a change for legal or administrative reasons , we will provide reasonable advance notice before the updated terms become effective .",,,,,
468,0,0,0,0,0,0,0,0,1,Instagram,2,1,"you agree that we may notify you of the updated terms by posting them on the service , and that your use of the service after the effective date of the updated terms -lrb- or engaging in such other conduct as we may reasonably specify -rrb- constitutes your agreement to the updated terms .",,,,,
469,0,1,0,0,0,0,0,0,0,Instagram,2,1,"therefore , you should review these terms of use and any updated terms before using the service .",,,,[3],
470,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the updated terms will be effective as of the time of posting , or such later date as may be specified in the updated terms , and will apply to your use of the service from that point forward .",,,,,
471,0,0,0,0,0,0,0,0,0,Instagram,2,0,these terms of use will govern any disputes arising before the effective date of the updated terms .,,,,,
472,0,0,0,0,0,0,0,0,0,Instagram,2,0,we reserve the right to refuse access to the service to anyone for any reason at any time .,,,,,
473,0,0,0,0,0,0,0,0,0,Instagram,2,0,we reserve the right to force forfeiture of any username for any reason .,,,,,
474,0,0,1,0,0,0,0,0,0,Instagram,2,1,"we may , but have no obligation to , remove , edit , block , and/or monitor content or accounts containing content that we determine in our sole discretion violates these terms of use .",,,,,[4]
475,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you are solely responsible for your interaction with other users of the service , whether online or offline .",,,,,
476,0,0,0,0,0,1,0,0,0,Instagram,2,1,you agree that instagram is not responsible or liable for the conduct of any user .,,[6],,,
477,0,0,0,0,0,0,0,0,0,Instagram,2,0,"instagram reserves the right , but has no obligation , to monitor or become involved in disputes between you and other users .",,,,,
478,0,0,0,0,0,0,0,0,0,Instagram,2,0,"exercise common sense and your best judgment when interacting with others , including when you submit or post content or any personal or other information .",,,,,
479,0,0,0,0,0,0,0,0,0,Instagram,2,0,"there may be links from the service , or from communications you receive from the service , to third-party web sites or features .",,,,,
480,0,0,0,0,0,0,0,0,0,Instagram,2,0,there may also be links to third-party web sites or features in images or comments within the service .,,,,,
481,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the service also includes third-party content that we do not control , maintain or endorse .",,,,,
482,0,0,0,0,0,0,0,0,0,Instagram,2,0,"functionality on the service may also permit interactions between the service and a third-party web site or feature , including applications that connect the service or your profile on the service with a third-party web site or feature .",,,,,
483,0,0,0,0,0,0,0,0,0,Instagram,2,0,"for example , the service may include a feature that enables you to share content from the service or your content with a third party , which may be publicly posted on that third party 's service or application .",,,,,
484,0,0,0,0,0,0,0,0,0,Instagram,2,0,using this functionality typically requires you to login to your account on the third-party service and you do so at your own risk .,,,,,
485,0,0,0,0,0,0,0,0,0,Instagram,2,0,instagram does not control any of these third-party web services or any of their content .,,,,,
486,0,0,0,0,0,1,0,0,0,Instagram,2,1,you expressly acknowledge and agree that instagram is in no way responsible or liable for any such third-party services or features .,,[6],,,
487,0,0,0,0,0,0,0,0,0,Instagram,2,0,your correspondence and business dealings with third parties found through the service are solely between you and the third party .,,,,,
488,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you may choose , at your sole and absolute discretion and risk , to use applications that connect the service or your profile on the service with a third-party service -lrb- each , an `` application '' -rrb- and such application may interact with , connect to or gather and/or pull information from and to your service profile .",,,,,
489,0,0,0,0,0,0,0,0,0,Instagram,2,0,"by using such applications , you acknowledge and agree to the following : -lrb- i -rrb- if you use an application to share information , you are consenting to information about your profile on the service being shared ; -lrb- ii -rrb- your use of an application may cause personally identifying information to be publicly disclosed and/or associated with you , even if instagram has not itself provided such information ; and -lrb- iii -rrb- your use of an application is at your own option and risk , and you will hold the instagram parties -lrb- defined below -rrb- harmless for activity related to the application .",,,,,
490,0,0,0,0,0,0,0,0,0,Instagram,2,0,you agree that you are responsible for all data charges you incur through use of the service .,,,,,
491,0,0,0,0,0,0,0,0,0,Instagram,2,0,"we prohibit crawling , scraping , caching or otherwise accessing any content on the service via automated means , including but not limited to , user profiles and photos -lrb- except as may be the result of standard search engine protocols or technologies used by a search engine with instagram 's express consent -rrb- .",,,,,
492,0,0,0,0,0,0,0,0,0,Instagram,2,0,instagram does not claim ownership of any content that you post on or through the service .,,,,,
493,0,0,0,0,0,0,0,0,0,Instagram,2,0,"instead , you hereby grant to instagram a non-exclusive , fully paid and royalty-free , transferable , sub-licensable , worldwide license to use the content that you post on or through the service , subject to the service 's privacy policy , available here http://instagram.com/legal/privacy/ , including but not limited to sections 3 -lrb- `` sharing of your information '' -rrb- , 4 -lrb- `` how we store your information '' -rrb- , and 5 -lrb- `` your choices about your information '' -rrb- .",,,,,
494,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you can choose who can view your content and activities , including your photos , as described in the privacy policy .",,,,,
495,0,0,0,0,0,0,0,0,0,Instagram,2,0,"some of the service is supported by advertising revenue and may display advertisements and promotions , and you hereby agree that instagram may place such advertising and promotions on the service or on , about , or in conjunction with your content .",,,,,
496,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the manner , mode and extent of such advertising and promotions are subject to change without specific notice to you .",,,,,
497,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you acknowledge that we may not always identify paid services , sponsored content , or commercial communications as such .",,,,,
498,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you represent and warrant that : -lrb- i -rrb- you own the content posted by you on or through the service or otherwise have the right to grant the rights and licenses set forth in these terms of use ; -lrb- ii -rrb- the posting and use of your content on or through the service does not violate , misappropriate or infringe on the rights of any third party , including , without limitation , privacy rights , publicity rights , copyrights , trademark and/or other intellectual property rights ; -lrb- iii -rrb- you agree to pay for all royalties , fees , and any other monies owed by reason of content you post on or through the service ; and -lrb- iv -rrb- you have the legal right and capacity to enter into these terms of use in your jurisdiction .",,,,,
499,0,0,0,0,0,0,0,0,0,Instagram,2,0,the service contains content owned or licensed by instagram -lrb- `` instagram content '' -rrb- .,,,,,
500,0,0,0,0,0,0,0,0,0,Instagram,2,0,"instagram content is protected by copyright , trademark , patent , trade secret and other laws , and , as between you and instagram , instagram owns and retains all rights in the instagram content and the service .",,,,,
501,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you will not remove , alter or conceal any copyright , trademark , service mark or other proprietary rights notices incorporated in or accompanying the instagram content and you will not reproduce , modify , adapt , prepare derivative works based on , perform , display , publish , distribute , transmit , broadcast , sell , license or otherwise exploit the instagram content .",,,,,
502,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the instagram name and logo are trademarks of instagram , and may not be copied , imitated or used , in whole or in part , without the prior written permission of instagram , except in accordance with our brand guidelines , available here : https://www.instagram-brand.com/ .",,,,,
503,0,0,0,0,0,0,0,0,0,Instagram,2,0,"in addition , all page headers , custom graphics , button icons and scripts are service marks , trademarks and/or trade dress of instagram , and may not be copied , imitated or used , in whole or in part , without prior written permission from instagram .",,,,,
504,0,0,0,0,0,0,0,0,0,Instagram,2,0,"although it is instagram 's intention for the service to be available as much as possible , there will be occasions when the service may be interrupted , including , without limitation , for scheduled maintenance or upgrades , for emergency repairs , or due to failure of telecommunications links and/or equipment .",,,,,
505,0,0,1,0,0,0,0,0,0,Instagram,2,1,"also , instagram reserves the right to remove any content from the service for any reason , without prior notice .",,,,,"[2, 0]"
506,0,0,0,0,0,0,0,0,0,Instagram,2,0,"content removed from the service may continue to be stored by instagram , including , without limitation , in order to comply with certain legal obligations , but may not be retrievable without a valid court order .",,,,,
507,0,0,0,0,0,0,0,0,0,Instagram,2,0,"consequently , instagram encourages you to maintain your own backup of your content .",,,,,
508,0,0,0,0,0,0,0,0,0,Instagram,2,0,"in other words , instagram is not a backup service and you agree that you will not rely on the service for the purposes of content backup or storage .",,,,,
509,0,0,0,0,0,1,0,0,0,Instagram,2,1,"instagram will not be liable to you for any modification , suspension , or discontinuation of the services , or the loss of any content .",,"[13, 1]",,,
510,0,0,0,0,0,0,0,0,0,Instagram,2,0,you also acknowledge that the internet may be subject to breaches of security and that the submission of content or other information may not be secure .,,,,,
511,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you agree that instagram is not responsible for , and does not endorse , content posted within the service .",,,,,
512,0,0,0,0,0,0,0,0,0,Instagram,2,0,"instagram does not have any obligation to prescreen , monitor , edit , or remove any content .",,,,,
513,0,0,0,0,0,0,0,0,0,Instagram,2,0,"if your content violates these terms of use , you may bear legal responsibility for that content .",,,,,
514,0,0,0,0,0,1,0,0,0,Instagram,2,1,"except as otherwise described in the service 's privacy policy , available at http://instagram.com/legal/privacy/ , as between you and instagram , any content will be non-confidential and non-proprietary and we will not be liable for any use or disclosure of content .",,[13],,,
515,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you acknowledge and agree that your relationship with instagram is not a confidential , fiduciary , or other type of special relationship , and that your decision to submit any content does not place instagram in a position that is any different from the position held by members of the general public , including with regard to your content .",,,,,
516,0,0,0,0,0,1,0,0,0,Instagram,2,1,"none of your content will be subject to any obligation of confidence on the part of instagram , and instagram will not be liable for any use or disclosure of any content you provide .",,[13],,,
517,0,0,0,0,0,0,0,0,0,Instagram,2,0,"it is instagram 's policy not to accept or consider content , information , ideas , suggestions or other materials other than those we have specifically requested and to which certain specific terms , conditions and requirements may apply .",,,,,
518,0,0,0,0,0,0,0,0,0,Instagram,2,0,this is to avoid any misunderstandings if your ideas are similar to those we have developed or are developing independently .,,,,,
519,0,0,0,0,0,0,0,0,0,Instagram,2,0,"accordingly , instagram does not accept unsolicited materials or ideas , and takes no responsibility for any materials or ideas so transmitted .",,,,,
520,0,0,0,0,0,0,0,0,0,Instagram,2,0,"if , despite our policy , you choose to send us content , information , ideas , suggestions , or other materials , you further agree that instagram is free to use any such content , information , ideas , suggestions or other materials , for any purposes whatsoever , including , without limitation , developing and marketing products and services , without any liability or payment of any kind to you .",,,,,
521,0,0,0,0,0,0,0,0,0,Instagram,2,0,reporting copyright and other ip violations,,,,,
522,0,0,0,0,0,0,0,0,0,Instagram,2,0,"we respect other people 's rights , and expect you to do the same .",,,,,
523,0,0,0,0,0,0,0,0,0,Instagram,2,0,we provide you with tools to help you protect your intellectual property rights .,,,,,
524,0,0,0,0,0,0,0,0,0,Instagram,2,0,"to learn more about how to report claims of intellectual property infringement , visit : https://help.instagram.com/customer/portal/articles/270501",,,,,
525,0,0,0,0,0,0,0,0,0,Instagram,2,0,"if you repeatedly infringe other people 's intellectual property rights , we will disable your account when appropriate .",,,,,
526,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the service , including , without limitation , instagram content , is provided on an `` as is '' , `` as available '' and `` with all faults '' basis .",,,,,
527,0,0,0,0,0,0,0,0,0,Instagram,2,0,"to the fullest extent permissible by law , neither instagram nor its parent company nor any of their employees , managers , officers or agents -lrb- collectively , the `` instagram parties '' -rrb- make any representations or warranties or endorsements of any kind whatsoever , express or implied , as to : -lrb- a -rrb- the service ; -lrb- b -rrb- the instagram content ; -lrb- c -rrb- user content ; or -lrb- d -rrb- security associated with the transmission of information to instagram or via the service .",,,,,
528,0,0,0,0,0,0,0,0,0,Instagram,2,0,"in addition , the instagram parties hereby disclaim all warranties , express or implied , including , but not limited to , the warranties of merchantability , fitness for a particular purpose , non-infringement , title , custom , trade , quiet enjoyment , system integration and freedom from computer virus .",,,,,
529,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the instagram parties do not represent or warrant that the service will be error-free or uninterrupted ; that defects will be corrected ; or that the service or the server that makes the service available is free from any harmful components , including , without limitation , viruses .",,,,,
530,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the instagram parties do not make any representations or warranties that the information -lrb- including any instructions -rrb- on the service is accurate , complete , or useful .",,,,,
531,0,0,0,0,0,0,0,0,0,Instagram,2,0,you acknowledge that your use of the service is at your sole risk .,,,,,
532,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the instagram parties do not warrant that your use of the service is lawful in any particular jurisdiction , and the instagram parties specifically disclaim such warranties .",,,,,
533,0,0,0,0,0,0,0,0,0,Instagram,2,0,some jurisdictions limit or do not allow the disclaimer of implied or other warranties so the above disclaimer may not apply to you to the extent such jurisdiction 's law is applicable to you and these terms of use .,,,,,
534,0,0,0,0,0,0,0,0,0,Instagram,2,0,by accessing or using the service you represent and warrant that your activities are lawful in every jurisdiction where you access or use the service .,,,,,
535,0,0,0,0,0,1,0,0,0,Instagram,2,1,"the instagram parties do not endorse content and specifically disclaim any responsibility or liability to any person or entity for any loss , damage -lrb- whether actual , consequential , punitive or otherwise -rrb- , injury , claim , liability or other cause of any kind or character based upon or resulting from any content .",,"[3, 6, 9, 5]",,,
536,0,0,0,0,0,1,0,0,0,Instagram,2,1,"under no circumstances will the instagram parties be liable to you for any loss or damages of any kind -lrb- including , without limitation , for any direct , indirect , economic , exemplary , special , punitive , incidental or consequential losses or damages -rrb- that are directly or indirectly related to : -lrb- a -rrb- the service ; -lrb- b -rrb- the instagram content ; -lrb- c -rrb- user content ; -lrb- d -rrb- your use of , inability to use , or the performance of the service ; -lrb- e -rrb- any action taken in connection with an investigation by the instagram parties or law enforcement authorities regarding your or any other party 's use of the service ; -lrb- f -rrb- any action taken in connection with copyright or other intellectual property owners ; -lrb- g -rrb- any errors or omissions in the service 's operation ; or -lrb- h -rrb- any damage to any user 's computer , mobile device , or other equipment or technology including , without limitation , damage from any security breach or from any virus , bugs , tampering , fraud , error , omission , interruption , defect , delay in operation or transmission , computer line or network failure or any other technical or other malfunction , including , without limitation , damages for lost profits , loss of goodwill , loss of data , work stoppage , accuracy of results , or computer failure or malfunction , even if foreseeable or even if the instagram parties have been advised of or should have known of the possibility of such damages , whether in an action of contract , negligence , strict liability or tort -lrb- including , without limitation , whether caused in whole or in part by negligence , acts of god , telecommunications failure , or theft or destruction of the service -rrb- .",,"[9, 3, 6, 2, 7, 1, 11, 12, 8]",,,
537,0,0,0,0,0,1,0,0,0,Instagram,2,1,"in no event will the instagram parties be liable to you or anyone else for loss , damage or injury , including , without limitation , death or personal injury .",,"[5, 9, 3]",,,
538,0,0,0,0,0,0,0,0,0,Instagram,2,0,"some states do not allow the exclusion or limitation of incidental or consequential damages , so the above limitation or exclusion may not apply to you .",,,,,
539,0,0,0,0,0,1,0,0,0,Instagram,2,1,"in no event will the instagram parties total liability to you for all damages , losses or causes or action exceed one hundred united states dollars -lrb- $ 100.00 -rrb- .",,[4],,,
540,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you agree that in the event you incur any damages , losses or injuries that arise out of instagram 's acts or omissions , the damages , if any , caused to you are not irreparable or sufficient to entitle you to an injunction preventing any exploitation of any web site , service , property , product or other content owned or controlled by the instagram parties , and you will have no rights to enjoin or restrain the development , production , distribution , advertising , exhibition or exploitation of any web site , property , product , service , or other content owned or controlled by the instagram parties .",,,,,
541,0,0,0,0,0,0,0,0,0,Instagram,2,0,"by accessing the service , you understand that you may be waiving rights with respect to claims that are at this time unknown or unsuspected , and in accordance with such waiver , you acknowledge that you have read and understand , and hereby expressly waive , the benefits of section 1542 of the civil code of california , and any similar law of any state or territory , which provides as follows : `` a general release does not extend to claims which the creditor does not know or suspect to exist in his favor at the time of executing the release , which if known by him must have materially affected his settlement with the debtor . ''",,,,,
542,0,0,0,0,0,1,0,0,0,Instagram,2,1,"instagram is not responsible for the actions , content , information , or data of third parties , and you release us , our directors , officers , employees , and agents from any claims and damages , known and unknown , arising out of or in any way connected with any claim you have against any such third parties .",,"[3, 6, 14, 11]",,,
543,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you -lrb- and also any third party for whom you operate an account or activity on the service -rrb- agree to defend -lrb- at instagram 's request -rrb- , indemnify and hold the instagram parties harmless from and against any claims , liabilities , damages , losses , and expenses , including without limitation , reasonable attorney 's fees and costs , arising out of or in any way connected with any of the following -lrb- including as a result of your direct activities on the service or those conducted on your behalf -rrb- : -lrb- i -rrb- your content or your access to or use of the service ; -lrb- ii -rrb- your breach or alleged breach of these terms of use ; -lrb- iii -rrb- your violation of any third-party right , including without limitation , any intellectual property right , publicity , confidentiality , property or privacy right ; -lrb- iv -rrb- your violation of any laws , rules , regulations , codes , statutes , ordinances or orders of any governmental and quasi-governmental authorities , including , without limitation , all regulatory , administrative and legislative authorities ; or -lrb- v -rrb- any misrepresentation made by you .",,,,,
544,0,0,0,0,0,0,0,0,0,Instagram,2,0,you will cooperate as fully required by instagram in the defense of any claim .,,,,,
545,0,0,0,0,0,0,0,0,0,Instagram,2,0,"instagram reserves the right to assume the exclusive defense and control of any matter subject to indemnification by you , and you will not in any event settle any claim without the prior written consent of instagram .",,,,,
546,1,0,0,0,0,0,0,0,0,Instagram,2,1,"except if you opt-out or for disputes relating to : -lrb- 1 -rrb- your or instagram 's intellectual property -lrb- such as trademarks , trade dress , domain names , trade secrets , copyrights and patents -rrb- ; -lrb- 2 -rrb- violations of the api terms ; or -lrb- 3 -rrb- violations of provisions 13 or 15 of the basic terms , above -lrb- `` excluded disputes '' -rrb- , you agree that all disputes between you and instagram -lrb- whether or not such dispute involves a third party -rrb- with regard to your relationship with instagram , including without limitation disputes related to these terms of use , your use of the service , and/or rights of privacy and/or publicity , will be resolved by binding , individual arbitration under the american arbitration association 's rules for arbitration of consumer-related disputes and you and instagram hereby expressly waive trial by jury .",,,"[0, 4, 1]",,
547,0,0,0,0,0,0,0,0,0,Instagram,2,0,"as an alternative , you may bring your claim in your local `` small claims '' court , if permitted by that small claims court 's rules .",,,,,
548,0,0,0,0,0,0,0,0,0,Instagram,2,0,you may bring claims only on your own behalf .,,,,,
549,0,0,0,0,0,0,0,0,0,Instagram,2,0,neither you nor instagram will participate in a class action or class-wide arbitration for any claims covered by this agreement .,,,,,
550,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you also agree not to participate in claims brought in a private attorney general or representative capacity , or consolidated claims involving another person 's account , if instagram is a party to the proceeding .",,,,,
551,0,0,0,0,0,0,0,0,0,Instagram,2,0,this dispute resolution provision will be governed by the federal arbitration act .,,,,,
552,0,0,0,0,0,0,0,0,0,Instagram,2,0,"in the event the american arbitration association is unwilling or unable to set a hearing date within one hundred and sixty -lrb- 160 -rrb- days of filing the case , then either instagram or you can elect to have the arbitration administered instead by the judicial arbitration and mediation services .",,,,,
553,0,0,0,0,0,0,0,0,0,Instagram,2,0,judgment on the award rendered by the arbitrator may be entered in any court having competent jurisdiction .,,,,,
554,0,0,0,0,0,0,0,0,0,Instagram,2,0,"any provision of applicable law notwithstanding , the arbitrator will not have authority to award damages , remedies or awards that conflict with these terms of use .",,,,,
555,0,0,0,0,0,0,0,0,0,Instagram,2,0,you may opt out of this agreement to arbitrate .,,,,,
556,0,0,0,0,0,0,0,0,0,Instagram,2,0,"if you do so , neither you nor instagram can require the other to participate in an arbitration proceeding .",,,,,
557,0,0,0,0,0,0,0,0,0,Instagram,2,0,"to opt out , you must notify instagram in writing within 30 days of the date that you first became subject to this arbitration provision .",,,,,
558,0,0,0,0,0,0,0,0,0,Instagram,2,0,you must use this address to opt out :,,,,,
559,0,0,0,0,0,0,0,0,0,Instagram,2,0,"instagram , llc attn : arbitration opt-out 1601 willow rd. .",,,,,
560,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you must include your name and residence address , the email address you use for your instagram account , and a clear statement that you want to opt out of this arbitration agreement .",,,,,
561,0,0,0,0,0,0,0,0,0,Instagram,2,0,"if the prohibition against class actions and other claims brought on behalf of third parties contained above is found to be unenforceable , then all of the preceding language in this arbitration section will be null and void .",,,,,
562,0,0,0,0,0,0,0,0,0,Instagram,2,0,this arbitration agreement will survive the termination of your relationship with instagram .,,,,,
563,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you agree that any claim you may have arising out of or related to your relationship with instagram must be filed within one year after such claim arose ; otherwise , your claim is permanently barred .",,,,,
564,0,0,0,0,1,0,0,0,0,Instagram,2,1,"these terms of use are governed by and construed in accordance with the laws of the state of california , without giving effect to any principles of conflicts of law and will specifically not be governed by the united nations conventions on contracts for the international sale of goods , if otherwise applicable .",,,,,
565,0,0,0,1,0,0,0,0,0,Instagram,2,1,"for any action at law or in equity relating to the arbitration provision of these terms of use , the excluded disputes or if you opt out of the agreement to arbitrate , you agree to resolve any dispute you have with instagram exclusively in a state or federal court located in santa clara , california , and to submit to the personal jurisdiction of the courts located in santa clara county for the purpose of litigating all such disputes .",,,,,
566,0,0,0,0,0,0,0,0,0,Instagram,2,0,"if any provision of these terms of use is held to be unlawful , void , or for any reason unenforceable during arbitration or by a court of competent jurisdiction , then that provision will be deemed severable from these terms of use and will not affect the validity and enforceability of any remaining provisions .",,,,,
567,0,0,0,0,0,0,0,0,0,Instagram,2,0,instagram 's failure to insist upon or enforce strict performance of any provision of these terms will not be construed as a waiver of any provision or right .,,,,,
568,0,0,0,0,0,0,0,0,0,Instagram,2,0,no waiver of any of these terms will be deemed a further or continuing waiver of such term or condition or any other term or condition .,,,,,
569,0,0,0,0,0,0,0,0,0,Instagram,2,0,"instagram reserves the right to change this dispute resolution provision , but any such changes will not apply to disputes arising before the effective date of the amendment .",,,,,
570,0,0,0,0,0,0,0,0,0,Instagram,2,0,this dispute resolution provision will survive the termination of any or all of your transactions with instagram .,,,,,
